"","block01_wAlbAB_m","block01_wAlbAB_f","block01_wAlbAB_immM","block01_wAlbAB_immF","block01_wPip_m","block01_wPip_f","block01_wPip_immM","block01_wPip_immF"
"1",176,177,80,93,175,1,0,0
"2",141,159,101,123,146,1,0,0
"3",112,138,129,136,120,1,0,0
"4",119,126,152,160,98,1,0,0
"5",114,112,166,176,84,1,0,0
"6",134,115,179,182,75,1,0,0
"7",137,111,182,195,64,1,0,0
"8",147,110,184,193,193,2,0,0
"9",142,119,177,183,161,1,0,0
"10",148,125,180,173,133,1,0,0
"11",150,130,178,175,113,1,0,0
"12",142,136,174,168,93,1,0,0
"13",172,142,167,155,73,0,0,0
"14",158,142,172,152,59,0,0,0
"15",161,157,168,141,210,1,0,0
"16",197,169,162,138,175,0,0,0
"17",224,172,158,147,147,0,0,0
"18",194,167,162,143,119,0,0,0
"19",181,160,165,147,94,0,0,0
"20",179,168,166,148,85,0,0,0
"21",168,171,171,142,67,0,0,0
"22",153,170,169,140,205,2,0,0
"23",156,169,168,147,172,1,0,0
"24",186,168,176,156,142,1,0,0
"25",159,179,182,149,116,1,0,0
"26",165,171,181,150,94,1,0,0
"27",153,161,177,158,77,1,0,0
"28",131,155,191,162,60,1,0,0
"29",154,156,195,153,202,5,0,0
"30",159,154,199,151,157,5,1,1
"31",149,146,196,149,136,3,1,1
"32",163,142,191,147,112,3,2,2
"33",157,146,178,136,95,2,1,2
"34",165,141,172,143,75,2,1,3
"35",162,145,160,134,61,2,1,3
"36",146,144,155,130,195,2,1,3
"37",138,146,149,129,160,2,1,3
"38",127,146,150,121,137,2,1,4
"39",120,138,134,124,100,2,1,4
"40",132,143,130,122,79,2,1,4
"41",122,144,127,120,65,2,1,3
"42",116,146,123,115,50,2,1,3
"43",107,147,128,114,144,6,1,3
"44",94,147,129,113,122,5,0,3
"45",112,149,128,112,97,7,0,1
"46",108,142,129,123,70,7,1,1
"47",102,134,129,133,61,6,1,1
"48",109,143,130,124,54,5,1,2
"49",100,142,131,125,44,5,1,3
"50",93,136,119,125,130,6,2,3
"51",86,136,119,125,106,5,3,3
"52",78,133,126,123,90,5,3,4
"53",78,133,126,122,78,4,4,4
"54",93,140,125,113,64,3,4,4
"55",124,136,121,109,49,3,3,4
"56",121,137,116,105,39,3,3,4
"57",142,134,112,103,169,3,2,4
"58",142,133,114,98,129,4,2,4
"59",125,129,115,110,110,4,1,4
"60",111,130,114,102,93,3,1,4
"61",118,133,107,96,75,5,1,1
"62",103,123,108,103,66,5,1,1
"63",98,113,110,104,52,5,1,1
"64",119,114,103,100,157,6,1,1
"65",104,111,105,100,133,5,2,1
"66",94,110,104,102,111,5,2,2
"67",95,109,103,101,93,5,3,3
"68",97,105,107,99,76,4,5,3
"69",89,107,111,97,63,4,5,5
"70",77,111,119,92,48,4,4,5
"71",78,117,120,94,117,6,5,5
"72",92,117,114,93,95,6,5,4
"73",99,121,110,90,76,5,5,4
"74",88,115,108,92,68,6,5,3
"75",104,115,109,95,56,6,5,2
"76",96,118,105,91,45,5,4,2
"77",126,117,101,91,41,5,2,2
"78",113,112,94,92,140,5,2,2
"79",104,111,89,93,114,5,2,2
"80",89,116,90,85,95,6,3,1
"81",102,121,83,87,79,6,4,2
"82",92,118,82,90,65,6,4,1
"83",105,116,78,90,55,6,4,1
"84",89,105,79,92,47,6,4,1
"85",86,109,74,91,125,7,1,1
"86",95,107,75,92,103,7,1,3
"87",84,106,81,93,83,7,1,3
"88",81,109,79,97,74,6,1,3
"89",77,116,76,96,65,3,1,2
"90",68,117,73,92,52,2,1,2
"91",84,111,74,93,46,2,0,2
"92",93,108,82,94,132,4,0,1
"93",85,110,88,89,111,4,0,2
"94",112,112,91,91,92,4,0,3
"95",123,118,88,88,76,4,0,2
"96",109,110,91,88,65,3,1,3
"97",103,109,88,87,52,2,2,4
"98",111,106,85,89,42,2,2,4
"99",100,109,89,88,133,4,3,6
"100",90,105,84,91,114,4,3,7
"101",99,103,88,101,88,3,4,7
"102",96,101,89,99,70,3,5,7
"103",108,103,90,106,61,4,5,7
"104",94,101,92,107,59,4,6,6
"105",85,103,96,110,48,5,6,4
"106",145,112,94,102,187,5,6,4
"107",167,103,96,103,154,4,5,5
"108",140,105,98,100,127,4,5,5
"109",120,104,95,102,104,3,4,5
"110",110,107,89,104,87,3,4,5
"111",97,101,95,105,75,4,3,5
"112",87,109,96,102,68,5,3,4
"113",97,113,99,102,152,8,3,2
"114",86,116,113,103,120,7,3,2
"115",90,111,119,107,103,8,3,1
"116",81,107,122,117,78,7,4,1
"117",85,110,119,114,66,7,3,3
"118",77,112,122,111,59,6,3,3
"119",79,109,124,111,50,5,3,3
"120",93,110,121,114,132,3,3,3
"121",104,102,115,117,108,4,3,2
"122",95,102,108,115,91,3,3,2
"123",93,110,106,111,72,2,5,2
"124",82,110,111,111,59,2,7,2
"125",76,105,108,106,51,2,7,3
"126",112,109,107,102,39,2,7,3
"127",103,109,111,99,135,3,8,2
"128",130,110,98,90,110,3,8,3
"129",135,115,95,89,86,4,7,6
"130",136,120,95,86,69,4,7,8
"131",136,121,96,90,60,3,7,8
